 ---------------------------------------------------------------------------------------------------------------------------------- 
                                          loging report for : 06/06/2012   23:25:23
 ---------------------------------------------------------------------------------------------------------------------------------- 

23:25:23  |  General  |  Info  |  PluginManager successfully initialized  |  .\src\MyGUI_PluginManager.cpp  |  40
23:25:23  |  General  |  Info  |  * Initialise: LanguageManager  |  .\src\MyGUI_LanguageManager.cpp  |  37
23:25:23  |  General  |  Info  |  LanguageManager successfully initialized  |  .\src\MyGUI_LanguageManager.cpp  |  44
23:25:23  |  General  |  Info  |  Load ini file 'core_keyboard.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
23:25:23  |  General  |  Info  |  Load ini file 'core_language.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
23:25:23  |  General  |  Info  |  Load ini file 'core_layer.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
23:25:23  |  General  |  Info  |  Load ini file 'theme_scifi_font.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
23:25:23  |  General  |  Info  |  Load ini file 'theme_scifi.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
23:25:23  |  General  |  Info  |  Load ini file 'core_resource.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
23:25:23  |  General  |  Info  |  Load ini file 'core_menu_resource.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
23:25:23  |  General  |  Error  |  ResourceManager : 'core_menu_resource.xml', 'Failed to open XML file' ,  file='core_menu_resource.xml' ,  line=0 ,  col=0  |  .\src\MyGUI_ResourceManager.cpp  |  204
23:25:23  |  General  |  Info  |  Load ini file 'emul_resource.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
23:25:23  |  General  |  Info  |  Load ini file 'scifi_skin.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
23:25:23  |  General  |  Info  |  Load ini file 'core_pointer.xml' from resource group : General  |  .\src\MyGUI_ResourceManager.cpp  |  171
23:25:23  |  General  |  Info  |  Gui successfully initialized  |  .\src\MyGUI_Gui.cpp  |  112
23:25:23  |  General  |  Info  |  Font 'Default' using texture size 1024 x 128  |  .\src\MyGUI_Font.cpp  |  205
23:25:23  |  General  |  Info  |  Font 'Default' using real height 18 pixels  |  .\src\MyGUI_Font.cpp  |  206
23:25:24  |  General  |  Error  |  ResourceManager : 'visual_menu_resources.xml', 'Failed to open XML file' ,  file='visual_menu_resources.xml' ,  line=0 ,  col=0  |  .\src\MyGUI_ResourceManager.cpp  |  204
23:25:24  |  General  |  Warning  |  Skin 'Window' not found, set Default  |  .\src\MyGUI_SkinManager.cpp  |  73
23:25:24  |  General  |  Warning  |  Skin 'ScrollButton_Left' not found, set Default  |  .\src\MyGUI_SkinManager.cpp  |  73
23:25:24  |  General  |  Warning  |  Skin 'ScrollButton_Right' not found, set Default  |  .\src\MyGUI_SkinManager.cpp  |  73
23:25:24  |  General  |  Warning  |  Skin 'ButtonMinusPlus' not found, set Default  |  .\src\MyGUI_SkinManager.cpp  |  73
23:25:24  |  General  |  Warning  |  Skin 'ButtonMinusPlus' not found, set Default  |  .\src\MyGUI_SkinManager.cpp  |  73
23:25:32  |  General  |  Info  |  Font 'Identifier' using texture size 1024 x 128  |  .\src\MyGUI_Font.cpp  |  205
23:25:32  |  General  |  Info  |  Font 'Identifier' using real height 26 pixels  |  .\src\MyGUI_Font.cpp  |  206
